match,x,y,time_s,lifetime_s,ward_type,side
8599091798,38.5,103.80000000000001,12.0,420.0,sen,dire
8599091798,28.700000000000003,96.80000000000001,18.0,227.0,sen,dire
8599091798,46.8,64.30000000000001,-47.0,360.0,obs,dire
8599091798,68.5,57.0,265.0,225.0,sen,dire
8599091798,26.400000000000006,82.4,-15.0,360.0,obs,dire
8599091798,94.0,27.400000000000006,29.0,132.0,sen,dire
8516930248,34.099999999999994,106.5,57.0,104.0,sen,dire
8516930248,36.8,105.30000000000001,231.0,420.0,sen,dire
8516930248,63.400000000000006,49.099999999999994,-50.0,360.0,obs,dire
8516930248,59.3,62.400000000000006,255.0,198.0,sen,dire
8516930248,77.1,25.099999999999994,-14.0,361.0,obs,dire
8516930248,98.5,27.5,74.0,144.0,sen,dire
8592272555,34.7,73.19999999999999,-39.0,15.0,sen,dire
8592272555,26.200000000000003,92.30000000000001,20.0,157.0,sen,dire
8592272555,34.8,106.19999999999999,102.0,420.0,sen,dire
8592272555,59.400000000000006,49.8,-22.0,360.0,obs,dire
8592272555,93.5,27.200000000000003,232.0,31.0,sen,dire
8528068483,98.0,37.7,266.0,38.0,sen,dire
8528068483,59.099999999999994,48.900000000000006,-54.0,360.0,obs,dire
8528068483,21.799999999999997,83.9,-52.0,360.0,obs,dire
8528068483,26.700000000000003,94.0,56.0,420.0,sen,dire
8536499892,34.8,73.30000000000001,-11.0,307.0,sen,dire
8536499892,38.7,103.19999999999999,108.0,420.0,sen,dire
8536499892,29.200000000000003,93.30000000000001,251.0,420.0,sen,dire
8536499892,65.1,54.400000000000006,-28.0,360.0,obs,dire
8536499892,68.19999999999999,54.7,187.0,262.0,sen,dire
8536499892,81.80000000000001,20.0,27.0,360.0,obs,dire
8536499892,94.0,27.099999999999994,36.0,82.0,sen,dire
8536499892,107.80000000000001,31.900000000000006,181.0,420.0,sen,dire
8446684731,49.5,86.9,-56.0,360.0,obs,dire
8446684731,-3.299999999999997,58.7,-32.0,420.0,sen,dire
8446684731,23.700000000000003,99.80000000000001,68.0,37.0,sen,dire
8446684731,24.099999999999994,99.9,145.0,420.0,sen,dire
8446684731,74.4,60.400000000000006,-31.0,360.0,obs,dire
8446684731,95.30000000000001,25.5,11.0,77.0,sen,dire
8446684731,79.4,28.799999999999997,247.0,420.0,sen,dire
8515655427,26.400000000000006,92.4,12.0,269.0,sen,dire
8515655427,36.3,104.30000000000001,56.0,21.0,sen,dire
8515655427,36.7,105.30000000000001,158.0,421.0,sen,dire
8515655427,120.0,10.299999999999997,299.0,420.0,sen,dire
8515655427,60.2,74.0,-27.0,360.0,obs,dire
8515655427,60.400000000000006,60.400000000000006,257.0,144.0,sen,dire
8515655427,79.69999999999999,56.0,-43.0,360.0,obs,dire
8515655427,98.30000000000001,27.5,105.0,50.0,sen,dire
8537408983,38.7,103.6,74.0,420.0,sen,dire
8537408983,61.400000000000006,70.5,-32.0,361.0,obs,dire
8537408983,49.7,97.4,-35.0,360.0,obs,dire
8537408983,93.80000000000001,27.200000000000003,117.0,16.0,sen,dire
8537408983,93.69999999999999,27.200000000000003,237.0,216.0,sen,dire
8460035179,34.599999999999994,106.19999999999999,74.0,420.0,sen,dire
8460035179,25.700000000000003,98.0,119.0,420.0,sen,dire
8460035179,73.30000000000001,61.0,-26.0,360.0,obs,dire
8460035179,48.0,79.0,-50.0,360.0,obs,dire
8460035179,104.1,35.2,207.0,169.0,sen,dire
8532316401,38.599999999999994,103.4,98.0,420.0,sen,dire
8532316401,29.299999999999997,94.69999999999999,131.0,59.0,sen,dire
8532316401,26.299999999999997,98.9,290.0,223.0,sen,dire
8532316401,60.7,67.30000000000001,-15.0,360.0,obs,dire
8532316401,65.5,46.0,197.0,420.0,sen,dire
8532316401,51.5,79.80000000000001,-53.0,360.0,obs,dire
8532316401,98.6,27.400000000000006,32.0,230.0,sen,dire
8532316401,104.1,35.900000000000006,169.0,420.0,sen,dire
8461956309,38.5,103.19999999999999,14.0,420.0,sen,dire
8461956309,24.099999999999994,94.19999999999999,29.0,161.0,sen,dire
8461956309,65.9,52.2,-45.0,306.0,obs,dire
8461956309,78.19999999999999,16.5,-10.0,360.0,obs,dire
8461956309,98.5,27.400000000000006,53.0,181.0,sen,dire
8461956309,93.69999999999999,27.099999999999994,267.0,156.0,sen,dire
8525084966,57.8,65.19999999999999,-20.0,420.0,sen,dire
8525084966,24.099999999999994,94.1,19.0,420.0,sen,dire
8525084966,38.5,103.6,114.0,420.0,sen,dire
8525084966,63.0,64.0,-33.0,44.0,obs,dire
8525084966,67.30000000000001,56.900000000000006,164.0,211.0,sen,dire
8525084966,49.8,95.80000000000001,-20.0,360.0,obs,dire
8525084966,93.9,27.099999999999994,162.0,317.0,sen,dire
8539982033,34.599999999999994,73.4,-54.0,420.0,sen,dire
8539982033,38.599999999999994,103.19999999999999,67.0,420.0,sen,dire
8539982033,68.0,62.7,-27.0,360.0,obs,dire
8539982033,66.0,56.900000000000006,286.0,416.0,sen,dire
8539982033,78.4,12.099999999999994,-30.0,360.0,obs,dire
8539982033,92.80000000000001,24.200000000000003,7.0,21.0,sen,dire
8539982033,92.9,24.5,86.0,31.0,sen,dire
